Weather_Condition,Nearby_Vessel,Vessel_Distance_NM,Vessel_Speed_Knots,Radar_Object_Detected,Radar_Distance_NM,Ship_Speed_Knots,Risk_Level
Storm,Yes,6.74,4.24,Yes,3.92,20.33,Critical
Clear,No,3.12,0.48,Yes,7.03,18.16,Safe
Storm,Yes,11.59,19.48,Yes,3.47,21.48,High
Clear,Yes,10.96,15.24,No,1.08,17.95,Safe
Storm,No,8.8,17.49,No,7.16,24.38,High
Clear,No,6.63,20.95,No,0.59,19.28,Safe
Storm,Yes,10.5,20.07,No,4.39,23.49,High
Clear,Yes,2.0,24.02,No,3.63,15.34,Moderate
Rain,Yes,9.59,13.4,No,7.09,7.34,Moderate
Storm,Yes,1.94,12.21,No,7.78,15.56,Critical
Clear,No,9.63,10.05,No,3.39,7.54,Safe
Rain,Yes,3.67,3.84,No,8.21,16.85,High
Rain,No,10.59,14.32,No,3.29,14.65,Moderate
Clear,No,11.36,6.93,No,4.74,17.45,Safe
Rain,No,2.21,23.03,No,7.41,5.2,Moderate
Rain,No,5.82,14.58,No,7.08,8.9,Moderate
Storm,No,11.78,14.82,Yes,9.88,14.83,High
Clear,No,6.06,8.87,No,2.64,24.01,Safe
Clear,Yes,10.43,1.3,No,6.79,12.67,Safe
Storm,No,7.27,0.79,Yes,6.29,13.49,High
Storm,No,4.82,10.58,No,9.19,19.29,High
Clear,No,3.79,2.11,No,1.99,17.08,Safe
Rain,No,2.84,15.17,No,7.64,10.98,Moderate
Clear,No,9.26,22.02,No,5.9,13.22,Safe
Clear,No,4.95,22.07,Yes,3.11,9.35,Moderate
Clear,Yes,6.38,16.48,Yes,5.01,24.32,Moderate
Clear,Yes,6.16,5.28,No,3.67,7.61,Moderate
Rain,Yes,7.14,21.57,No,6.0,12.44,Moderate
Clear,No,10.45,22.15,No,8.95,5.52,Safe
Storm,No,11.78,4.92,No,5.91,9.44,High
Storm,Yes,5.19,18.44,No,6.5,20.61,High
Rain,No,10.02,7.16,No,5.43,9.02,Moderate
Clear,No,9.29,20.07,No,0.99,6.6,Safe
Clear,No,7.1,24.93,No,2.71,14.49,Safe
Rain,No,11.49,0.75,No,5.17,5.2,Moderate
Rain,No,2.81,22.43,No,3.45,6.7,Moderate
Clear,No,1.76,15.57,No,2.23,21.15,Safe
Storm,No,10.32,24.33,Yes,5.29,20.43,High
Rain,No,5.55,11.63,No,3.57,23.3,Moderate
Storm,Yes,10.24,21.18,No,2.95,22.09,High
Rain,Yes,10.77,1.56,Yes,4.91,18.66,Moderate
Rain,Yes,1.22,8.38,No,1.77,6.05,High
Clear,Yes,10.66,1.68,No,9.31,20.66,Safe
Storm,Yes,5.66,24.38,No,8.74,21.91,High
Storm,No,6.37,20.42,No,7.22,20.98,High
Clear,No,7.71,21.31,No,1.51,15.17,Safe
Clear,No,11.15,23.45,No,7.87,9.66,Safe
Clear,Yes,0.72,2.13,No,8.18,21.91,Moderate
Rain,Yes,5.98,9.64,Yes,7.79,19.54,Moderate
Storm,No,8.41,1.78,No,1.58,24.62,High
Clear,Yes,8.81,5.27,No,6.62,8.11,Safe
Rain,No,8.46,5.73,Yes,8.43,9.51,Moderate
Clear,Yes,2.05,11.73,No,5.98,9.24,Moderate
Storm,No,3.94,6.71,Yes,6.64,20.85,High
Rain,No,4.63,2.52,No,4.85,8.74,Moderate
Rain,No,9.75,4.19,Yes,5.52,6.33,Moderate
Clear,No,3.71,3.68,No,0.83,24.97,Safe
Clear,No,2.92,24.33,Yes,6.57,5.5,Safe
Clear,No,11.51,18.98,Yes,1.27,21.7,High
Clear,Yes,0.6,24.19,No,4.63,12.31,Moderate
Storm,No,11.97,10.99,No,3.28,21.83,High
Rain,No,8.28,6.96,No,5.68,16.09,Moderate
Storm,Yes,10.03,19.96,No,1.77,23.03,High
Storm,Yes,3.89,8.16,No,7.07,23.52,Critical
Rain,No,0.66,7.48,No,8.05,5.18,Moderate
Rain,No,8.99,5.81,No,2.05,6.51,Moderate
Storm,No,10.09,3.24,No,1.49,10.01,High
Rain,No,9.02,6.41,No,1.88,18.39,Moderate
Clear,Yes,2.14,8.88,No,8.83,22.77,Moderate
Clear,No,9.16,16.85,No,5.52,14.2,Safe
Clear,No,9.34,1.56,No,4.94,17.14,Safe
Storm,Yes,8.07,5.26,No,1.51,8.77,High
Rain,No,9.31,20.23,No,6.67,21.1,Moderate
Clear,No,10.23,3.67,No,8.75,24.35,Safe
Rain,No,7.56,8.57,No,8.37,10.37,Moderate
Rain,Yes,1.52,21.62,No,6.45,14.9,High
Clear,No,6.11,3.87,Yes,1.22,6.72,High
Clear,Yes,1.39,2.07,No,1.57,16.18,Moderate
Rain,No,5.19,12.11,No,0.97,15.06,Moderate
Clear,No,5.18,7.56,No,2.95,7.89,Safe
Rain,Yes,1.26,14.09,Yes,1.79,13.84,Critical
Clear,Yes,4.51,20.1,Yes,2.97,11.68,Critical
Storm,Yes,1.78,3.43,No,4.16,15.44,Critical
Rain,Yes,9.79,14.52,No,9.46,16.71,Moderate
Rain,Yes,11.4,12.64,Yes,6.3,5.17,Moderate
Storm,No,1.33,3.6,No,8.43,20.22,High
Clear,No,11.48,15.6,No,7.25,19.26,Safe
Clear,Yes,6.51,6.84,No,1.57,12.33,Moderate
Clear,No,3.95,12.2,No,7.49,6.06,Safe
Rain,Yes,1.38,2.06,Yes,3.11,20.1,High
Rain,Yes,6.26,11.49,Yes,6.57,24.1,Moderate
Rain,No,9.64,7.66,Yes,3.74,9.8,Moderate
Clear,No,8.63,20.56,No,9.98,11.47,Safe
Clear,Yes,1.08,1.42,Yes,3.0,8.68,High
Clear,No,1.34,10.47,No,3.15,16.54,Safe
Clear,Yes,5.13,11.46,No,9.34,8.1,Moderate
Rain,No,3.9,18.13,Yes,0.73,12.12,High
Clear,Yes,3.17,14.36,No,7.12,18.94,Moderate
Clear,No,3.73,16.68,No,7.39,16.2,Safe
Storm,Yes,9.74,19.43,No,8.45,12.73,High
Clear,No,11.19,21.56,Yes,9.76,13.4,Safe
Clear,No,5.16,7.85,No,9.77,16.24,Safe
Rain,No,10.92,13.45,No,1.12,5.12,Moderate
Clear,Yes,4.2,21.0,No,8.31,6.57,Moderate
Rain,Yes,5.98,24.74,Yes,6.64,22.63,Moderate
Storm,No,3.1,22.24,Yes,6.65,6.56,High
Storm,No,7.87,9.29,No,1.72,19.14,High
Clear,No,11.76,4.88,No,6.68,23.4,Safe
Storm,Yes,7.44,12.23,No,9.83,10.41,High
Clear,Yes,4.61,18.54,Yes,9.16,12.41,Moderate
Clear,No,7.95,12.31,No,4.67,16.38,Safe
Clear,No,1.91,12.08,Yes,0.88,22.63,High
Storm,No,10.72,20.96,No,3.94,23.84,High
Clear,No,6.29,9.04,Yes,8.35,19.79,Safe
Clear,No,5.67,21.49,Yes,7.16,6.73,Safe
Rain,Yes,7.24,10.17,No,4.86,18.38,Moderate
Clear,No,7.69,8.21,Yes,1.02,13.21,High
Clear,Yes,1.33,11.35,No,4.56,14.41,Moderate
Clear,No,8.35,19.06,No,4.96,5.98,Safe
Clear,No,3.28,3.15,No,9.32,8.82,Safe
Clear,Yes,8.71,4.91,Yes,6.59,20.81,Safe
Clear,Yes,9.96,23.79,No,3.46,14.08,Safe
Rain,Yes,9.75,4.39,No,5.49,11.03,Moderate
Clear,No,6.85,14.19,No,1.13,12.68,Safe
Clear,No,6.48,14.48,No,9.74,22.09,Safe
Storm,Yes,2.14,12.24,No,3.92,19.98,Critical
Clear,No,9.42,16.12,No,5.04,10.45,Safe
Rain,No,3.62,5.75,Yes,3.88,7.35,Moderate
Clear,No,6.21,13.82,No,6.98,10.04,Safe
Clear,No,3.77,9.3,No,6.79,23.42,Safe
Clear,Yes,2.04,16.54,No,7.3,16.63,Moderate
Clear,No,7.74,3.53,No,3.05,15.67,Safe
Clear,No,1.12,14.27,Yes,3.5,16.93,Moderate
Clear,No,9.11,4.63,Yes,1.69,12.32,High
Clear,No,4.15,6.97,No,6.73,21.14,Safe
Clear,No,0.5,5.47,Yes,0.88,15.47,High
Clear,No,6.38,4.57,Yes,6.18,7.33,Safe
Clear,No,1.04,20.64,Yes,8.76,7.58,Safe
Clear,Yes,3.68,7.14,No,8.96,15.74,Moderate
Clear,No,8.63,23.18,Yes,4.77,23.73,Moderate
Rain,No,1.22,24.25,No,4.86,11.17,Moderate
Clear,Yes,10.15,14.28,No,1.23,22.39,Safe
Rain,Yes,0.54,3.58,No,6.87,20.28,High
Rain,No,3.34,9.36,No,8.3,9.96,Moderate
Clear,No,9.02,19.94,No,2.82,5.73,Safe
Storm,No,4.14,9.18,No,4.5,7.04,High
Storm,Yes,1.67,2.18,No,8.47,19.57,Critical
Clear,Yes,4.64,13.92,Yes,8.83,8.99,Moderate
Clear,Yes,3.61,21.13,Yes,2.81,12.43,Critical
Rain,No,10.19,19.9,No,5.73,15.03,Moderate
Rain,Yes,4.1,4.38,Yes,2.33,19.51,Critical
Clear,No,9.57,16.82,Yes,1.47,7.26,High
Clear,No,10.76,5.51,Yes,9.16,13.13,Safe
Clear,No,5.49,5.46,No,8.29,14.7,Safe
Clear,Yes,10.96,21.85,No,7.72,15.82,Safe
Rain,No,4.84,6.24,Yes,0.96,21.37,High
Clear,Yes,11.59,6.58,No,8.52,8.43,Safe
Clear,No,1.53,0.02,No,4.66,21.16,Safe
Rain,No,8.4,21.77,No,3.75,18.86,Moderate
Clear,No,6.18,19.81,No,5.69,16.12,Safe
Clear,No,4.96,15.68,No,1.37,18.99,Safe
Rain,Yes,7.78,18.76,No,7.69,13.24,Moderate
Storm,No,8.59,3.8,No,6.03,7.77,High
Clear,Yes,0.55,11.46,Yes,2.27,18.32,Critical
Clear,Yes,2.42,8.78,Yes,2.29,15.49,Critical
Clear,Yes,8.7,2.34,No,2.25,17.79,Safe
Clear,No,8.16,12.15,Yes,1.04,11.76,High
Clear,No,11.61,23.02,No,6.08,23.14,Safe
Clear,No,9.25,1.0,No,8.48,16.75,Safe
Clear,Yes,11.43,7.29,Yes,0.67,6.71,High
Clear,Yes,8.58,5.19,Yes,0.97,14.0,High
Clear,No,3.93,5.95,Yes,5.94,20.13,Moderate
Clear,Yes,1.71,22.71,No,8.29,20.88,Moderate
Clear,No,9.49,11.7,Yes,3.6,14.89,Moderate
Clear,Yes,7.91,11.66,No,3.82,22.89,Moderate
Clear,No,1.05,19.01,Yes,6.17,10.35,Safe
Storm,Yes,4.64,3.86,Yes,3.11,13.21,Critical
Rain,No,11.5,12.18,No,0.75,22.97,Moderate
Rain,Yes,6.25,10.75,No,7.48,22.93,Moderate
Rain,Yes,5.48,14.92,Yes,6.44,18.71,Moderate
Clear,Yes,5.76,24.99,No,6.02,22.18,Moderate
Clear,No,2.9,19.24,No,7.55,6.78,Safe
Clear,No,4.74,9.95,Yes,6.91,22.3,Safe
Rain,No,4.75,20.69,No,2.46,11.41,Moderate
Rain,No,1.1,4.27,Yes,3.85,8.57,Moderate
Clear,No,9.33,0.76,No,1.7,9.79,Safe
Clear,Yes,5.29,5.11,No,1.73,13.36,Moderate
Clear,No,9.96,8.51,Yes,6.92,10.02,Safe
Clear,No,10.28,12.76,No,8.66,11.41,Safe
Rain,No,2.94,15.38,No,9.65,7.7,Moderate
Rain,No,8.06,22.77,Yes,6.47,10.92,Moderate
Clear,Yes,5.93,12.75,No,2.25,16.45,Moderate
Storm,No,10.62,12.53,No,1.5,13.84,High
Rain,Yes,2.98,1.26,No,8.22,11.93,High
Clear,No,8.29,0.87,Yes,6.0,19.93,Safe
Clear,Yes,7.49,13.78,Yes,6.37,22.87,Moderate
Clear,Yes,3.9,10.95,Yes,7.92,20.14,Moderate
Clear,No,2.07,20.98,No,7.18,11.64,Safe
Clear,Yes,7.99,4.02,Yes,8.43,19.89,Moderate
Clear,No,8.99,0.62,No,1.03,8.04,Safe
Clear,Yes,4.13,11.23,No,7.6,7.61,Moderate
Clear,No,7.92,5.94,No,8.58,11.91,Safe
Storm,Yes,5.04,1.24,Yes,3.22,21.15,Critical
Clear,Yes,8.7,18.11,Yes,6.58,9.93,Safe
Clear,Yes,2.79,2.79,No,3.48,6.27,Moderate
Clear,Yes,10.74,15.21,No,9.6,7.63,Safe
Storm,No,3.81,7.03,Yes,0.82,22.17,Critical
Clear,No,4.73,4.34,No,6.01,17.68,Safe
Clear,No,1.17,9.49,Yes,2.08,10.06,High
Storm,No,1.78,20.04,No,7.27,16.11,High
Storm,Yes,6.43,9.8,No,2.17,15.55,High
Rain,No,3.58,18.77,No,2.74,18.11,Moderate
Clear,Yes,10.11,3.14,No,5.2,9.66,Safe
Clear,Yes,0.67,19.32,Yes,9.19,22.29,Moderate
Rain,Yes,4.86,5.92,No,2.51,11.19,High
Storm,No,4.38,16.93,Yes,1.87,18.88,Critical
Rain,Yes,0.72,14.14,No,7.71,5.32,High
Rain,Yes,1.93,23.23,No,5.26,12.45,High
Clear,No,5.26,9.68,No,9.16,12.03,Safe
Rain,Yes,6.17,1.65,No,1.89,15.87,Moderate
Clear,Yes,5.15,0.48,Yes,6.64,6.45,Moderate
Clear,No,6.61,20.67,No,2.71,20.8,Safe
Clear,No,7.34,13.12,No,1.99,9.36,Safe
Clear,No,0.61,19.38,No,6.99,18.54,Safe
Clear,No,5.84,5.86,No,6.14,21.06,Safe
Clear,No,11.58,8.63,No,7.67,16.24,Safe
Rain,No,6.47,0.75,Yes,3.44,19.82,Moderate
Clear,No,8.29,24.04,No,4.76,18.24,Safe
Rain,No,4.09,16.7,No,4.35,12.11,Moderate
Clear,Yes,9.4,23.33,No,9.85,21.18,Safe
Clear,No,9.39,6.64,Yes,3.28,10.89,Moderate
Clear,Yes,6.49,15.29,No,3.3,16.42,Moderate
Clear,No,11.72,16.96,No,3.87,19.91,Safe
Clear,No,1.94,7.94,No,5.86,12.58,Safe
Clear,No,0.69,21.2,No,2.9,11.06,Safe
Clear,No,9.36,23.68,No,9.2,14.19,Safe
Storm,No,9.78,22.12,No,3.02,21.36,High
Clear,Yes,1.88,18.48,Yes,9.01,23.6,Moderate
Rain,No,3.55,6.94,No,1.48,15.9,Moderate
Clear,Yes,0.7,7.04,Yes,6.74,18.23,Moderate
Rain,Yes,3.87,24.08,No,9.12,23.07,High
Rain,No,9.39,0.26,No,2.1,6.97,Moderate
Rain,No,6.46,17.9,No,9.7,9.64,Moderate
Clear,Yes,4.5,17.66,No,4.8,19.18,Moderate
Clear,No,4.78,15.57,Yes,9.48,21.47,Safe
Clear,No,0.52,24.75,No,6.93,22.14,Safe
Storm,Yes,3.95,7.8,No,3.37,13.3,Critical
Rain,No,7.93,8.5,No,2.29,6.79,Moderate
Storm,Yes,11.7,1.97,Yes,3.39,13.76,High
Clear,Yes,10.24,11.07,No,1.38,9.61,Safe
Rain,No,0.77,6.53,Yes,1.87,10.82,High
Storm,No,10.83,8.58,No,1.49,20.45,High
Clear,No,9.51,20.86,No,4.52,6.51,Safe
Clear,No,9.47,23.39,No,8.06,21.55,Safe
Rain,No,5.77,4.64,No,1.84,13.55,Moderate
Rain,Yes,5.08,9.31,No,1.74,16.92,Moderate
Rain,No,3.98,23.22,No,6.61,6.79,Moderate
Clear,No,1.26,1.55,Yes,2.37,11.75,High
Rain,Yes,3.12,2.31,Yes,1.43,6.79,Critical
Clear,Yes,3.34,4.07,Yes,2.09,24.23,Critical
Clear,Yes,6.07,14.88,No,9.28,21.15,Moderate
Clear,No,9.1,3.76,No,8.3,14.19,Safe
Rain,Yes,5.95,24.2,No,3.86,9.47,Moderate
Rain,No,1.17,11.17,Yes,6.73,23.67,Moderate
Clear,No,11.51,12.54,Yes,5.6,11.89,Moderate
Clear,No,11.34,6.17,No,6.93,8.22,Safe
Storm,Yes,9.53,11.77,No,6.99,16.26,High
Clear,No,11.9,16.55,No,6.47,23.88,Safe
Rain,No,6.76,18.78,No,3.03,5.08,Moderate
Clear,No,11.57,18.85,No,0.87,9.76,Safe
Clear,No,1.37,14.45,No,4.83,23.77,Safe
Clear,Yes,4.71,22.61,Yes,8.96,8.42,Moderate
Clear,Yes,3.09,20.44,No,5.91,7.26,Moderate
Rain,Yes,2.75,18.93,No,8.41,16.4,High
Clear,No,2.12,1.39,Yes,9.92,22.24,Safe
Clear,No,7.66,0.17,No,2.05,14.54,Safe
Storm,No,9.49,5.31,No,7.07,24.89,High
Clear,No,7.15,16.59,No,6.91,18.58,Safe
Clear,No,2.19,10.28,No,9.81,6.48,Safe
Storm,Yes,9.83,10.06,No,9.86,24.86,High
Rain,No,7.81,22.11,Yes,7.02,13.16,Moderate
Clear,No,4.96,22.39,No,2.81,10.75,Safe
Storm,No,8.25,22.73,No,8.09,16.16,High
Rain,No,3.49,7.85,No,1.52,11.09,Moderate
Clear,No,4.47,17.28,No,7.92,6.73,Safe
Clear,Yes,11.05,6.79,Yes,9.15,5.03,Safe
Rain,Yes,3.84,4.77,Yes,4.14,13.99,High
Rain,Yes,5.9,4.62,No,6.49,21.74,Moderate
Clear,No,10.74,8.55,Yes,4.59,16.45,Moderate
Storm,No,8.64,10.75,No,4.66,24.98,High
Rain,No,1.22,20.77,Yes,3.45,10.74,Moderate
Clear,No,2.19,3.0,No,7.74,10.61,Safe
Clear,Yes,0.59,18.37,Yes,9.39,8.19,Moderate
Clear,No,7.76,13.29,Yes,9.44,8.28,Safe
Rain,No,5.65,7.2,No,2.16,10.7,Moderate
Clear,No,2.04,12.32,No,8.81,20.86,Safe
Rain,No,11.52,7.5,Yes,7.51,23.12,Moderate
Rain,Yes,6.59,14.9,Yes,2.9,24.5,Critical
Storm,No,3.28,10.85,No,1.14,9.65,High
Clear,No,6.26,4.11,Yes,3.05,22.63,Moderate
Rain,No,8.32,2.91,No,9.17,11.57,Moderate
Clear,No,1.38,13.67,No,6.52,7.26,Safe
Rain,Yes,3.66,22.56,No,7.35,22.4,High
Clear,Yes,9.78,8.6,No,2.94,17.72,Safe
Clear,Yes,5.79,18.33,Yes,7.33,8.29,Moderate
Rain,Yes,6.79,16.47,No,0.77,13.6,Moderate
Clear,No,5.48,23.29,Yes,4.07,10.75,Moderate
Clear,Yes,1.0,20.52,No,6.45,19.74,Moderate
Rain,No,2.41,14.17,No,1.89,14.07,Moderate
Rain,No,5.62,16.43,No,8.32,24.79,Moderate
Rain,Yes,2.91,22.46,No,2.73,6.09,High
Rain,No,1.07,9.99,No,6.7,12.1,Moderate
Clear,Yes,10.2,8.17,No,4.35,14.64,Safe
Clear,No,11.78,0.27,No,6.16,15.06,Safe
Clear,Yes,9.62,20.66,No,1.52,11.32,Safe
Clear,Yes,10.32,20.02,No,0.66,19.58,Safe
Storm,Yes,3.28,2.61,No,9.14,22.49,Critical
Rain,Yes,11.55,14.42,Yes,3.06,23.77,Moderate
Clear,Yes,2.76,11.6,Yes,8.29,21.1,Moderate
Clear,No,11.44,2.97,No,9.99,22.01,Safe
Storm,No,11.94,24.51,No,2.51,16.01,High
Clear,No,8.68,5.37,No,3.02,21.52,Safe
Rain,Yes,11.78,1.68,Yes,6.8,11.07,Moderate
Clear,No,7.05,14.87,No,9.67,12.97,Safe
Rain,Yes,3.48,18.47,No,9.2,11.34,High
Clear,No,5.53,0.81,No,5.28,14.35,Safe
Storm,No,7.33,16.47,No,8.05,10.71,High
Storm,Yes,1.34,13.31,No,1.79,24.23,Critical
Rain,No,7.66,2.58,Yes,9.79,11.26,Moderate
Rain,No,11.78,4.31,No,9.66,6.96,Moderate
Storm,No,2.69,14.2,No,2.06,15.54,High
Rain,Yes,9.61,7.41,No,3.34,6.14,Moderate
Clear,Yes,10.94,23.46,No,1.45,7.21,Safe
Rain,No,11.35,20.47,Yes,3.08,9.39,Moderate
Rain,No,11.54,24.59,No,8.25,14.29,Moderate
Clear,No,6.5,6.49,Yes,4.09,13.67,Moderate
Rain,Yes,11.74,24.24,No,1.34,20.99,Moderate
Storm,Yes,9.21,10.78,No,3.75,19.79,High
Storm,No,2.36,8.69,Yes,9.82,13.53,High
Clear,No,5.98,1.26,No,6.48,11.67,Safe
Clear,No,8.76,1.32,Yes,4.45,11.33,Moderate
Storm,Yes,3.34,17.3,No,2.08,20.48,Critical
Rain,Yes,7.87,11.45,Yes,9.87,6.04,Moderate
Clear,No,8.17,5.66,No,8.3,5.26,Safe
Storm,No,2.37,15.35,No,3.17,20.91,High
Storm,No,7.0,6.32,Yes,1.17,14.54,Critical
Clear,Yes,9.37,14.44,Yes,1.04,7.62,High
Rain,No,6.24,8.98,Yes,1.64,9.71,High
Clear,Yes,0.64,20.59,Yes,6.02,23.65,Moderate
Clear,Yes,0.6,20.52,Yes,9.32,22.19,Moderate
Clear,No,4.61,11.93,No,5.22,19.2,Safe
Rain,No,11.15,8.77,No,8.51,14.64,Moderate
Clear,No,3.13,9.06,No,4.74,15.41,Safe
Clear,Yes,7.8,20.14,No,7.23,24.5,Moderate
Clear,Yes,3.05,8.2,No,7.45,24.32,Moderate
Clear,Yes,4.2,5.23,No,2.15,9.31,Moderate
Storm,No,10.25,2.12,No,3.93,21.22,High
Clear,No,8.88,11.67,No,6.55,8.94,Safe
Clear,Yes,1.6,12.05,No,1.17,9.27,Moderate
Rain,Yes,5.43,21.02,No,3.93,18.52,Moderate
Clear,No,0.84,5.53,No,5.58,13.1,Safe
Clear,Yes,6.03,9.52,Yes,9.96,23.63,Moderate
Clear,Yes,8.12,20.21,Yes,5.01,6.78,Moderate
Clear,No,1.86,20.59,No,8.25,15.23,Safe
Clear,Yes,3.82,9.62,No,4.6,23.37,Moderate
Clear,Yes,5.08,11.48,No,8.07,23.08,Moderate
Clear,Yes,11.07,7.58,No,6.16,8.13,Safe
Storm,No,11.92,23.31,No,8.92,12.33,High
Clear,No,1.02,2.97,No,4.4,17.38,Safe
Rain,Yes,9.25,23.34,No,6.24,8.19,Moderate
Rain,No,4.77,17.1,No,6.49,24.36,Moderate
Clear,No,5.01,13.29,Yes,4.47,23.29,Moderate
Rain,No,9.17,0.82,Yes,1.87,8.34,High
Clear,No,11.06,11.89,No,1.39,7.42,Safe
Storm,Yes,11.44,10.19,No,0.66,6.71,High
Clear,Yes,7.14,4.03,No,8.8,23.19,Moderate
Clear,No,4.61,16.41,No,2.75,8.87,Safe
Clear,No,9.56,24.28,Yes,2.51,13.33,High
Storm,No,3.39,14.05,No,7.49,13.98,High
Clear,Yes,6.99,17.87,Yes,3.54,16.98,Moderate
Rain,Yes,4.62,1.71,No,5.31,6.43,High
Clear,No,8.05,10.44,Yes,2.04,9.54,High
Rain,Yes,3.26,2.91,No,9.62,23.63,High
Clear,Yes,2.7,15.32,Yes,8.59,23.17,Moderate
Storm,Yes,11.06,23.46,No,8.71,20.63,High
Clear,Yes,1.67,16.54,No,4.36,5.39,Moderate
Clear,No,6.32,1.92,No,7.74,11.54,Safe
Clear,Yes,3.04,8.87,No,1.87,17.56,Moderate
Clear,No,0.95,13.77,Yes,0.58,10.5,High
Rain,Yes,0.91,10.08,Yes,0.69,23.19,Critical
Clear,Yes,2.52,20.84,Yes,6.07,17.68,Moderate
Rain,Yes,10.47,20.37,No,4.83,6.44,Moderate
Clear,Yes,3.75,15.3,Yes,5.42,23.18,High
Clear,No,11.43,9.34,No,0.57,24.16,Safe
Clear,No,7.19,6.38,No,4.52,6.55,Safe
Clear,Yes,5.52,2.65,No,7.32,15.65,Moderate
Rain,Yes,7.17,8.87,No,4.71,11.07,Moderate
Clear,No,6.44,10.33,No,7.46,12.86,Safe
Clear,No,9.23,16.9,No,2.71,8.59,Safe
Storm,No,3.75,16.45,No,8.22,16.56,High
Storm,Yes,4.56,1.75,Yes,6.09,24.16,Critical
Clear,Yes,10.78,9.88,No,2.5,15.06,Safe
Clear,No,11.38,4.54,No,2.75,6.66,Safe
Rain,No,10.76,3.92,No,6.47,17.4,Moderate
Clear,Yes,5.32,20.68,No,8.38,11.8,Moderate
Clear,Yes,9.47,1.05,No,4.45,22.12,Safe
Clear,No,5.98,10.48,No,2.95,13.69,Safe
Rain,No,6.22,4.21,No,8.74,8.86,Moderate
Rain,No,2.85,21.98,No,6.86,8.82,Moderate
Clear,No,7.3,13.93,No,4.76,20.38,Safe
Clear,No,2.64,5.78,Yes,5.14,10.31,Moderate
Clear,Yes,4.31,12.56,No,2.44,20.34,Moderate
Rain,Yes,10.33,18.29,No,6.45,9.12,Moderate
Clear,Yes,2.88,23.95,Yes,3.91,11.43,High
Clear,Yes,1.32,5.51,No,9.96,14.31,Moderate
Rain,No,1.29,22.15,No,5.06,23.86,Moderate
Clear,No,11.32,23.36,Yes,5.12,23.63,Moderate
Rain,No,6.33,22.91,No,5.88,9.14,Moderate
Clear,No,5.21,15.89,No,9.21,12.16,Safe
Clear,Yes,9.83,15.75,No,8.11,7.99,Safe
Clear,Yes,10.11,10.08,No,4.79,15.2,Safe
Rain,No,4.32,18.81,No,7.33,14.21,Moderate
Storm,No,8.48,13.28,No,6.07,23.02,High
Rain,Yes,9.37,16.94,No,5.18,23.6,Moderate
Clear,No,8.03,10.71,No,2.33,12.67,Safe
Rain,No,2.24,18.29,No,4.91,14.83,Moderate
Clear,Yes,10.57,20.61,No,2.84,22.92,Safe
Clear,Yes,6.7,3.66,No,9.19,21.13,Moderate
Storm,No,3.75,20.82,No,3.69,5.07,High
Clear,No,5.39,13.51,No,9.55,11.4,Safe
Clear,Yes,0.93,21.12,Yes,5.56,13.44,High
Clear,No,1.97,10.78,No,6.5,9.59,Safe
Clear,No,9.3,9.48,No,5.66,8.99,Safe
Clear,Yes,0.5,22.88,No,1.73,5.76,Moderate
Rain,No,5.29,6.28,No,4.07,17.87,Moderate
Clear,Yes,6.51,21.11,Yes,1.44,10.25,High
Storm,No,1.13,12.1,No,6.42,6.05,High
Rain,Yes,11.69,12.85,Yes,4.75,9.62,Moderate
Clear,No,3.1,7.71,No,7.89,21.04,Safe
Clear,No,4.0,14.33,Yes,2.59,22.03,High
Clear,No,4.0,8.13,No,2.06,14.66,Safe
Rain,No,3.15,0.98,Yes,4.36,13.32,Moderate
Clear,Yes,0.52,6.8,No,9.3,24.56,Moderate
Rain,Yes,8.89,0.16,No,7.25,9.01,Moderate
Clear,No,11.62,24.46,No,4.48,9.31,Safe
Rain,No,3.08,24.14,No,5.41,10.84,Moderate
Clear,Yes,8.13,9.88,Yes,1.3,8.46,High
Clear,Yes,9.03,18.21,No,9.85,12.59,Safe
Storm,No,10.26,8.65,No,6.83,23.22,High
Rain,No,5.36,16.78,Yes,3.21,17.31,Moderate
Clear,No,3.98,20.14,No,6.07,13.24,Safe
Storm,Yes,4.24,23.67,Yes,1.54,23.69,Critical
Clear,No,8.7,10.01,Yes,9.68,5.97,Safe
Storm,Yes,9.89,19.58,No,2.16,9.21,High
Rain,No,2.59,6.65,Yes,6.66,16.32,Moderate
Clear,Yes,4.77,24.76,No,2.83,17.31,Moderate
Clear,No,10.87,0.64,No,7.32,5.79,Safe
Clear,No,9.78,15.09,No,7.88,13.06,Safe
Clear,No,11.83,16.49,No,6.9,17.98,Safe
Rain,Yes,9.17,17.2,Yes,6.34,18.96,Moderate
Clear,No,5.02,3.01,Yes,8.98,17.76,Safe
Clear,No,7.29,23.46,No,1.25,11.41,Safe
Rain,No,8.1,4.53,No,3.64,6.87,Moderate
Storm,No,1.4,15.57,Yes,2.86,13.54,Critical
Clear,Yes,6.76,5.57,No,9.89,7.58,Moderate
Clear,Yes,8.66,7.68,No,4.2,23.95,Safe
Clear,Yes,2.42,13.66,No,7.46,14.5,Moderate
Clear,No,9.48,10.43,Yes,7.0,11.35,Safe
Storm,Yes,7.21,4.01,No,2.51,20.33,High
Clear,No,11.45,4.27,Yes,2.77,14.96,High
Rain,No,0.99,10.45,Yes,3.17,11.2,Moderate
Clear,No,3.55,18.93,No,4.41,21.24,Safe
Rain,No,7.42,22.45,No,2.73,22.34,Moderate
